"Algorithm","Polygons","Max vertices","Avg vertices","b","Depth","Cost","Memory","Time","EBF","Frontier","Explored"
UC,2,14,12.0000,11,2,852.4975,18498,40,12.5096,109,59
A*-d2,2,14,12.0000,11,2,852.4975,2890,7,5.1789,28,3
A*-d6,2,14,12.0000,11,2,852.4975,5746,14,7.5777,54,10
UC,2,12,10.5000,9,5,336.2266,8596,19,2.0589,39,30
A*-d2,2,12,10.5000,9,5,336.2266,3204,8,1.6272,18,8
A*-d6,2,12,10.5000,9,5,336.2266,3924,9,1.7126,21,11
UC,2,7,6.0000,8,2,427.0277,5696,12,6.0000,21,20
A*-d2,2,7,6.0000,8,2,427.0277,1370,4,2.8541,8,2
A*-d6,2,7,6.0000,8,2,427.0277,1672,5,3.1401,9,3
UC,2,6,4.5000,6,2,786.8112,4600,12,5.2663,14,18
A*-d2,2,6,4.5000,6,2,786.8112,1724,5,3.4051,11,3
A*-d6,2,6,4.5000,6,2,786.8112,2516,5,3.8875,11,7
UC,2,13,12.5000,11,7,1683.9251,17706,46,1.7802,46,80
A*-d2,2,13,12.5000,11,7,1683.9251,9838,22,1.6639,54,31
A*-d6,2,13,12.5000,11,7,1683.9251,11440,25,1.6993,57,39
UC,2,8,6.5000,6,4,1673.0748,4586,11,1.9793,11,17
A*-d2,2,8,6.5000,6,4,1673.0748,1736,5,1.4922,7,4
A*-d6,2,8,6.5000,6,4,1673.0748,3640,8,1.9793,18,10
UC,2,18,17.0000,12,3,253.5847,16682,37,5.0232,104,52
A*-d2,2,18,17.0000,12,3,253.5847,1340,5,1.6608,5,3
A*-d6,2,18,17.0000,12,3,253.5847,6006,13,3.6166,52,11
UC,2,13,9.5000,6,7,289.7823,8506,26,1.5260,9,43
A*-d2,2,13,9.5000,6,7,289.7823,6282,14,1.4927,25,21
A*-d6,2,13,9.5000,6,7,289.7823,6696,15,1.4927,21,25
UC,2,8,5.5000,6,4,499.3709,5988,19,2.1315,5,31
A*-d2,2,8,5.5000,6,4,499.3709,3250,8,1.9363,17,9
A*-d6,2,8,5.5000,6,4,499.3709,4924,11,2.0960,14,20
UC,2,11,9.5000,8,2,1270.8785,12334,27,9.2596,44,50
A*-d2,2,11,9.5000,8,2,1270.8785,2708,6,4.6235,20,5
A*-d6,2,11,9.5000,8,2,1270.8785,3924,8,5.4372,24,10
UC,2,9,7.5000,7,6,1411.5306,8334,18,1.7050,17,39
A*-d2,2,9,7.5000,7,6,1411.5306,4792,10,1.5829,25,14
A*-d6,2,9,7.5000,7,6,1411.5306,7876,18,1.7050,25,31
UC,2,14,13.0000,9,6,538.0508,16194,36,1.9711,45,71
A*-d2,2,14,13.0000,9,6,538.0508,8480,18,1.8226,54,24
A*-d6,2,14,13.0000,9,6,538.0508,10154,22,1.8626,55,32
UC,2,10,7.0000,9,4,939.2620,10400,26,2.4950,7,55
A*-d2,2,10,7.0000,9,4,939.2620,7940,18,2.4232,22,34
A*-d6,2,10,7.0000,9,4,939.2620,8044,18,2.4232,21,35
UC,2,8,8.0000,7,3,522.3789,4974,12,2.9703,19,18
